date;Finland;Angola;New Zealand
2020-07-13;0.13278241407743677;0.0017040053733618583;0.031624194043598404
2020-07-14;0.1328911481411006;0.0017559369656928866;0.031665131511616006
2020-07-15;0.13298175986082042;0.0018695373239170103;0.031685600245624806
2020-07-16;0.13307237158054022;0.0019701547840583773;0.03170606897963361
2020-07-17;0.13323547267603592;0.0020707722441997444;0.03172653771364241
2020-07-18;0.1333442067396997;0.0022298127457135177;0.03178794391566882
2020-07-19;0.13347106314730747;0.0022882357870859242;0.03180841264967762
2020-07-20;0.1335616748670273;0.002431047665996251;0.03182888138368642
2020-07-21;0.1337791429943549;0.002528419401616929;0.03182888138368642
2020-07-22;0.13392412174590662;0.0026355283107996745;0.03182888138368642
2020-07-23;0.13412346752929022;0.002762111567106555;0.03184935011769522
2020-07-24;0.13417783456112214;0.0028562375782065436;0.03184935011769522
2020-07-25;0.1343590580005618;0.002973083660951357;0.03184935011769522
2020-07-26;0.13443154737633767;0.003025015253282385;0.03184935011769522
2020-07-27;0.13457652612788937;0.0030834382946547914;0.03186981885170402
2020-07-28;0.13479399425521696;0.003245724520689254;0.03191075631972162
2020-07-29;0.13495709535071265;0.0034988910333030162;0.03193122505373042
2020-07-30;0.13517456347804024;0.0035995084934443825;0.03193122505373042
2020-07-31;0.13531954222959197;0.0037260917497512636;0.03197216252174803
2020-08-01;0.13564574442058336;0.003778023342082292;0.032033568723774435
2020-08-02;0.13591757957974285;0.003891623700306416;0.032074506191792036
2020-08-03;0.1360988030191825;0.004154527386482245;0.032074506191792036
2020-08-04;0.13673308505722132;0.004362253755806358;0.032115443659809645
2020-08-05;0.13713177662398854;0.00452778570636151;0.032115443659809645
2020-08-06;0.13765732459836355;0.004813409464182164;0.032115443659809645
2020-08-07;0.1380560161651308;0.004991924312820074;0.032115443659809645
2020-08-08;0.13836409601217822;0.005102278946523507;0.032115443659809645
2020-08-09;0.1385271971076739;0.005426851398592433;0.032115443659809645
2020-08-10;0.1391614791457127;0.005449571470237258;0.032135912393818446
2020-08-11;0.13943331430487219;0.0056313320433958565;0.032135912393818446
2020-08-12;0.13994073993530323;0.005718966605454466;0.03252481833998567
2020-08-13;0.1404300432217903;0.0058909900050509965;0.03279091188210009
2020-08-14;0.14081061244461357;0.006011081812316499;0.032934193020161706
2020-08-15;0.14129991573110065;0.006098716374375109;0.033200286562276124
2020-08-16;0.14155362854631617;0.006186350936433718;0.03338450516835534
2020-08-17;0.1423328893359067;0.006280476947533708;0.033630129976460955
2020-08-18;0.14282219262239376;0.006381094407675074;0.03375294238051377
2020-08-19;0.14352896403620846;0.006540134909188847;0.03385528605055778
2020-08-20;0.14438071420157483;0.006634260920288835;0.03408044212465459
2020-08-21;0.14487001748806191;0.0067121583087853785;0.0342032545287074
2020-08-22;0.14532307608666103;0.0069263761271508685;0.0342646607307338
2020-08-23;0.1456130335897645;0.0070464679344163705;0.03444887933681302
2020-08-24;0.14581237937314814;0.0072119998849715225;0.03459216047487463
2020-08-25;0.14612045922019554;0.007409989080733568;0.034694504144918634
2020-08-26;0.14639229437935503;0.007569029582247341;0.034837785282980246
2020-08-27;0.14675474125823434;0.007838424717464548;0.03508341009108587
2020-08-28;0.14733465626444123;0.008020185290623146;0.03534950363320028
2020-08-29;0.14796893830248004;0.008279843252278287;0.03539044110121789
2020-08-30;0.1483132628374154;0.008516781142288602;0.035574659707297104
2020-08-31;0.14863946502840678;0.00861415287790928;0.03586122198342033
2020-09-01;0.1495093375377171;0.008857582216960974;0.035963565653464334
2020-09-02;0.15003488551209215;0.00901337699395406;0.036004503121481936
2020-09-03;0.15050606645463524;0.009104257280533358;0.03610684679152594
2020-09-04;0.15115847083661801;0.009334703721502295;0.03616825299355235
2020-09-05;0.15191960928226456;0.009526201468222962;0.036270596663596354
2020-09-06;0.1523183008490318;0.00962357320384364;0.036352471599631564
2020-09-07;0.15291633819918268;0.009675504796174666;0.03647528400368437
2020-09-08;0.15373184367666112;0.009844282471250508;0.03659809640773718
2020-09-09;0.15476481728146718;0.010035780217971173;0.03667997134377239
2020-09-10;0.15576154619838528;0.010441495783057331;0.03670044007778119
2020-09-11;0.15674015277135944;0.010642730703340065;0.036741377545798794
2020-09-12;0.15779124872010947;0.010824491276498663;0.036782315013816395
2020-09-13;0.15851614247786808;0.010996514676095194;0.036802783747825196
2020-09-14;0.15933164795534654;0.011162046626650345;0.0368641899498516
2020-09-15;0.16040086624804054;0.011583990814339949;0.0368846586838604
2020-09-16;0.1613613504770707;0.01192803761353301;0.03702793982192201
2020-09-17;0.16241244642582073;0.012298050208891584;0.03702793982192201
2020-09-18;0.1639528456610578;0.012489547955612251;0.037068877289939614
2020-09-19;0.16534826614474316;0.01266157135520878;0.037150752225974824
2020-09-20;0.16650809615715698;0.012953686562070814;0.037150752225974824
2020-09-21;0.16784914960901043;0.01336264785167766;0.037150752225974824
2020-09-22;0.17002383088228631;0.01374888906963968;0.03733497083205404
2020-09-23;0.17201728871612254;0.014161096083767217;0.03739637703408044
2020-09-24;0.1741557253015105;0.014524617230084413;0.03743731450209805
2020-09-25;0.17593171500801913;0.014897875549963678;0.03747825197011565
2020-09-26;0.17825137503284674;0.015164024960660197;0.03751918943813325
2020-09-27;0.1795924284847002;0.015313328288611903;0.03751918943813325
2020-09-28;0.18087911490472178;0.015569740525746351;0.037560126906150855
2020-09-29;0.18312628555377353;0.015920278773980792;0.037580595640159656
2020-09-30;0.1855546796422649;0.01613774231686697;0.03782622044826527
2020-10-01;0.18859923342485116;0.016598635198804845;0.03782622044826527
2020-10-02;0.1920606011181486;0.016913470477311704;0.037846689182274074
2020-10-03;0.1954494794356702;0.017429540676101297;0.037949032852318085
2020-10-04;0.19867525665769611;0.017533403860763352;0.037969501586326886
2020-10-05;0.20135736356140305;0.017948856599411575;0.03803090778835329
2020-10-06;0.20663096564909705;0.018581772880945983;0.0380923139903797
2020-10-07;0.21208579117623075;0.018581772880945983;0.0381537201924061
2020-10-08;0.21763122842308424;0.019338026694266576;0.0381946576604237
2020-10-09;0.22232491550457137;0.01957496458427689;0.03827653259645891
2020-10-10;0.22642056523590762;0.02027279535622508;0.03829700133046771
2020-10-11;0.2284321454136878;0.02066228229870779;0.03829700133046771
2020-10-12;0.2308242948142913;0.021058260690231884;0.038317470064476514
2020-10-13;0.2354636148639465;0.02168143979820422;0.038358407532494115
2020-10-14;0.23906996130879568;0.022220230068638634;0.03839934500051172
2020-10-15;0.24273067478547675;0.02303166119881095;0.03848121993654692
2020-10-16;0.24619204247877421;0.023440622488417794;0.03854262613857333
2020-10-17;0.24972589954784752;0.024219596373383216;0.03860403234059973
2020-10-18;0.25161062331802;0.024738912296693494;0.03860403234059973
2020-10-19;0.2539484056867915;0.025410777272476173;0.03862450107460853
2020-10-20;0.2583521352651752;0.026124836667027806;0.039136219424828575
2020-10-21;0.2613785667038175;0.027062851053507003;0.03917715689284618
2020-10-22;0.264785567365283;0.027854807836555178;0.03936137549892539
2020-10-23;0.26882685006478735;0.028656501793165427;0.03958653157302221
2020-10-24;0.27234258478991674;0.029295909523741212;0.03960700030703101
2020-10-25;0.274281675591921;0.03044814172858589;0.03970934397707502
2020-10-26;0.2765288462409728;0.03130176727752717;0.03972981271108382
2020-10-27;0.2811500439466841;0.032038546743723625;0.03977075017910142
2020-10-28;0.28539067242957206;0.03269742882142355;0.03989356258315423
2020-10-29;0.28974003497612383;0.03333034510295795;0.039914031317163035
2020-10-30;0.29401690814689974;0.03426835948943715;0.04005731245522464
2020-10-31;0.2980038238145722;0.0350700534460474;0.04009824992324225
2020-11-01;0.30019662743179204;0.035816570085805924;0.04018012485927745
2020-11-02;0.30293310136733087;0.03644299491829894;0.040282468529321463
2020-11-03;0.308134214079249;0.037575752776019496;0.040343874731347866
2020-11-04;0.3125016989697447;0.03834174376290216;0.04038481219936547
2020-11-05;0.31637988057375344;0.03927975814938136;0.040405280933374275
2020-11-06;0.3203305515535379;0.039672490816384756;0.04044621840139188
2020-11-07;0.3238825309665552;0.04003601196270195;0.04056903080544468
2020-11-08;0.3262021909913828;0.0403540929657295;0.040650905741479886
2020-11-09;0.3285943403919863;0.04115578692233974;0.040671374475488686
2020-11-10;0.33354174028868894;0.04159720545715348;0.040691843209497494
2020-11-11;0.33727494314114587;0.042041869716487906;0.0407532494115239
2020-11-12;0.3426210346046158;0.04236644216855684;0.0408351243475591
2020-11-13;0.34776778028470207;0.04293444395967746;0.04089653054958551
2020-11-14;0.35262456846168483;0.04340831973969809;0.04095793675161191
2020-11-15;0.35525230833355986;0.04365824052779116;0.04095793675161191
2020-11-16;0.3585143302434737;0.044190539349184196;0.04103981168764712
2020-11-17;0.3656364114134522;0.04484942142688411;0.041101217889673525
2020-11-18;0.37266788086371094;0.045186976777035794;0.041142155357691126
2020-11-19;0.379500004530586;0.04587507037542192;0.041203561559717536
2020-11-20;0.3881624849358016;0.04630675173667359;0.04132637396377034
2020-11-21;0.39591884814381895;0.04678062751669422;0.041510592569849555
